ppm,Temperature,pH,Adjusted pH,EC
412,24.81,7,6.908698504,0.82
147,25.31,7,6.978184316,0.29
239,25.56,7,6.973089748,0.48
240,25.75,7,6.935358,0.48
237,25.75,7,7.010640878,0.47
240,25.25,7,6.954715263,0.48
237,26,7,7.023271839,0.47
220,26,7,7.021918109,0.44
190,26.06,7,6.914124816,0.38
191,26.06,7,7.066736205,0.38
193,25.5,7,7.01853354,0.39
190,26,7,7.030942346,0.38
191,26,7,6.989394191,0.38
191,26.06,7,7.044546987,0.38
190,26.06,7,6.972484377,0.38
195,25.5,7,7.008498985,0.39
194,26.06,7,6.964278659,0.39
193,26.06,7,7.045081768,0.39
145,26.06,7,7.046858019,0.29
140,26.06,7,7.060223981,0.28
140,25.5,7,6.914910697,0.28
139,25.44,7,6.94669989,0.28
136,25.94,7,6.992358558,0.27
270,24.87,6.9,6.992990246,0.54
274,24.94,6.9,6.854424807,0.55
275,25,6.9,6.912714855,0.55
276,25.12,6.9,6.876673373,0.55
275,25.19,6.9,6.87346114,0.55
278,24.62,6.9,7.010946337,0.56
277,25.19,6.9,6.82810364,0.55
277,25.12,6.9,6.884939307,0.55
277,25.19,6.9,6.915271988,0.55
277,25.06,6.9,6.895098485,0.56
277,25.12,6.9,6.956294293,0.55
281,24.62,6.9,6.858453258,0.56
277,25.12,6.9,6.872111984,0.55
279,24.69,6.9,6.824303641,0.56
587,24.56,6.2,6.259545155,1.57
1007,24.31,6.2,6.097553857,2.02
995,25.19,6.2,6.158751705,1.99
959,25.37,6.2,6.227045177,2
998,25.44,6.2,6.223268256,2
1001,25.5,6.2,6.246433116,2
1002,25.62,6.2,6.174685054,2.01
996,25.75,6.2,6.207376507,1.99
1002,25.87,6.2,6.261725355,2
1004,25.75,6.2,6.238732018,2.01
1009,25.54,6.2,6.235410253,2.02
1007,25.81,6.2,6.198556954,2.02
1011,25.81,6.2,6.162301702,2.02
1009,25.94,6.2,6.193644003,2.02
1013,25.94,6.2,6.220751347,2.03
1013,25.54,6.2,6.163291419,2.03
1005,25.94,6.2,6.220203645,2.02
1014,25.87,6.2,6.199782216,2.03
1017,25.54,6.2,6.300017717,2.03
1018,25.87,6.2,6.227071204,2.04
1018,25.87,6.2,6.258801064,2.04
1033,25.31,6.2,6.138057248,2.07
1021,25.54,6.2,6.201229178,2.04
1018,25.87,6.2,6.166654147,2.04
1021,25.94,6.2,6.096473259,2.04
1022,25.87,6.2,6.188097512,2.05
1032,25.37,6.2,6.255719458,2.06
1033,25.31,6.2,6.164258794,2.07
1026,25.87,6.2,6.21380098,2.05
1022,25.87,6.2,6.170073233,2.05
1026,25.87,6.2,6.208229471,2.05
1026,25.87,6.2,6.257775978,2.05
1021,25.94,6.2,6.221713081,2.04
1029,25.94,6.2,6.1566585,2.06
1042,25.31,6.2,6.138911528,2.08
1042,25.31,6.2,6.186132305,2.08
1026,25.87,6.2,6.235335277,2.05
1026,25.87,6.2,6.170883715,2.05
1028,25.81,6.2,6.161013775,2.06
1032,25.81,6.2,6.143967865,2.06
881,24.87,6.5,6.403301819,1.76
881,25.5,6.5,6.403792433,1.16
885,25.69,6.5,6.404288912,1.77
892,25.44,6.5,6.371135612,1.79
884,26.06,6.5,6.3999814,1.77
889,26.06,6.5,6.376417083,1.78
896,25.42,6.5,6.382424684,1.79
905,25.56,6.5,6.391604608,1.81
894,26.19,6.5,6.408374173,1.79
894,26.19,6.5,6.375391441,1.79
897,26.25,6.5,6.432525174,1.79
898,26.19,6.5,6.418474,1.8
906,25.69,6.5,6.43969578,1.81
898,26.19,6.5,6.398759338,1.8
911,25.62,6.5,6.408288317,1.82
906,25.69,6.5,6.345886031,1.81
906,25.69,6.5,6.477743622,1.81
897,26.25,6.5,6.452849997,1.79
900,26.25,6.5,6.350530179,1.8
905,26.19,6.5,6.428301671,1.81
910,25.69,6.5,6.406957866,1.82
905,26.18,6.5,6.436411651,1.81
906,26.12,6.5,6.451484072,1.82
902,26.12,6.5,6.505174691,1.81
905,26.18,6.5,6.39185038,1.81
902,26.12,6.5,6.377746406,1.81
902,26.12,6.5,6.267173519,1.81
904,26.25,6.5,6.415679749,1.81
902,26.12,6.5,6.406296245,1.81
504,25.25,6.8,6.802944458,1.01
504,25.06,6.8,6.773757459,1.01
504,25.06,6.8,6.800396978,1.01
504,25.06,6.8,6.875182134,1.01
504,25.06,6.8,6.772329568,1.01
508,25.56,6.8,6.788553916,1.02
503,25.12,6.8,6.782116167,1.01
502,25.19,6.8,6.771489508,1.01
502,25.19,6.8,6.87133381,1.01
503,25.12,6.8,6.804753031,1.01
501,25.12,6.8,6.814768671,1
501,25.12,6.8,6.788229905,1
502,25.06,6.8,6.737697508,1
500,25.19,6.8,6.820466584,1
501,25.12,6.8,6.794252098,1
500,25.19,6.8,6.791575377,1
499,25.12,6.8,6.7936798,1
707,24.69,6.6,6.561454491,1.41
711,24.62,6.6,6.631276738,1.42
710,24.69,6.6,6.579285096,1.42
706,25.19,6.6,6.668373144,1.41
711,24.81,6.6,6.601484153,1.42
707,25.31,6.6,6.681418091,1.41
707,25.31,6.6,6.565417928,1.41
704,25.5,6.6,6.559670061,1.41
713,24.87,6.6,6.549981189,1.43
705,25.44,6.6,6.630176562,1.41
705,25.44,6.6,6.550459618,1.41
716,24.81,6.6,6.648386082,1.43
716,24.81,6.6,6.599870503,1.43
716,24.81,6.6,6.592831828,1.43
717,24.75,6.6,6.590581007,1.44
709,25.37,6.6,6.661390591,1.42
708,25.44,6.6,6.611506182,1.42
708,25.44,6.6,6.646340133,1.42
712,25.37,6.6,6.613485815,1.42
717,24.75,6.6,6.610637099,1.44
712,25.37,6.6,6.564409406,1.42
709,25.37,6.6,6.579508113,1.42
715,24.87,6.6,6.586022911,1.43
718,24.69,6.6,6.611194024,1.44
710,25.31,6.6,6.550424228,1.42
831,24.62,6.5,6.425348373,1.66
867,25.06,6.5,6.430688204,1.74
863,25.12,6.5,6.364205899,1.73
869,24.75,6.5,6.407702201,1.74
868,24.81,6.5,6.525615625,1.74
867,24.87,6.5,6.461300064,1.74
854,25.44,6.5,6.43312785,1.71
854,25.44,6.5,6.360790448,1.71
858,25.44,6.5,6.336331896,1.72
853,25.5,6.5,6.384027902,1.71
858,25.44,6.5,6.392808069,1.72
853,25.5,6.5,6.425607046,1.71
863,24.94,6.5,6.381400613,1.73
867,24.87,6.5,6.443141073,1.74
858,25.44,6.5,6.381213588,1.72
856,25.56,6.5,6.414941483,1.71
857,25.5,6.5,6.420651063,1.71
863,24.94,6.5,6.48233764,1.73
854,25.44,6.5,6.398763265,1.71
853,25.5,6.5,6.416719386,1.71
860,24.87,6.5,6.421718502,1.72
854,25.44,6.5,6.407360372,1.71
851,25.44,6.5,6.412994338,1.7
850,25.5,6.5,6.400089152,1.7
854,25.44,6.5,6.477905822,1.71
860,24.87,6.5,6.285825317,1.72
851,25.44,6.5,6.456483307,1.7
853,25.31,6.5,6.415773146,1.71
854,25.44,6.5,6.359781555,1.71
1176,23.87,6,6.013543221,2.35
1064,24.62,6,6.031883276,2.13
1067,24.25,6,6.051698942,2.14
1057,24.94,6,5.972313806,2.12
1051,25.06,6,6.044652067,2.1
1054,25.12,6,5.992782465,2.11
1055,25.06,6,5.872332302,2.11
1055,25.06,6,6.036697972,2.11
1054,25.12,6,5.908402652,2.11
1047,25.25,6,5.95137126,2.09
1052,25.19,6,6.035306416,2.11
1052,25.19,6,5.963489249,2.11
1051,25.25,6,6.077623645,2.1
1052,25.19,6,5.97059785,2.11
1051,25.25,6,6.042454379,2.1
1050,25.31,6,6.040200977,2.1
1054,25.31,6,5.943550397,2.11
1054,25.31,6,6.025928563,2.11
1061,24.75,6,5.965744133,2.12
1050,25.31,6,6.032046698,2.1
1064,24.81,6,6.085809729,2.13
1053,25.37,6,6.125114626,2.11
1053,25.37,6,6.02591737,2.11
1053,25.37,6,6.061334034,2.11
1054,25.31,6,5.97800008,2.11
1064,24.81,6,5.950719179,2.13
1069,24.81,6,6.072107563,2.14
1054,25.31,6,6.059657824,2.11
1057,25.37,6,5.946688003,2.12
1057,25.37,6,5.99260352,2.12
1053,25.37,6,5.981419204,2.11
1315,25.06,5.8,5.79337756,2.63
1315,25.06,5.8,5.822724607,2.63
1307,25.62,5.8,5.900911638,2.62
1307,25.62,5.8,5.907780352,2.62
1307,25.62,5.8,5.817483621,2.62
1309,25.56,5.8,5.85711649,2.62
1307,25.62,5.8,5.785429813,2.62
1309,25.56,5.8,5.68809187,2.62
1307,25.62,5.8,5.834087899,2.62
1307,25.62,5.8,5.786850337,2.62
1313,25.62,5.8,5.734210357,2.63
1286,25.56,5.8,5.7353991,2.57
1283,25.69,5.8,5.789893046,2.57
1292,25.56,5.8,5.862847827,2.58
